co_localite_pj|co_localite_insse|co_localite_insee_pj|lib_commune|principale
00727600|07276|07276|Saint Michel d'Aurance|1
00727700|07277|07277|Saint Michel de Boulogne|1
00727800|07278|07278|Saint Michel de Chabrillanoux|1
00727900|07279|07279|Saint Montan|1
00728000|07280|07280|Saint Paul le Jeune|1
00728100|07281|07281|Saint Péray|1
00728200|07282|07282|Saint Pierre de Colombier|1
00728300|07283|07283|Saint Pierre la Roche|1
00728350|07284|07284|Saint Pierre Saint Jean|1
00728375|07000|00728375|Saint Pierre sous Aubenas|0
00728500|07285|07285|Saint Pierre sur Doux|1
00728600|07286|07286|Saint Pierreville|1
00728700|07287|07287|Saint Pons|1
00728800|07288|07288|Saint Priest|1
00728900|07289|07289|Saint Privat|1
00729000|07290|07290|Saint Prix|1
00729100|07291|07291|Saint Remèze|1
00729200|07292|07292|Saint Romain d'Ay|1
00729300|07293|07293|Saint Romain de Lerps|1
00729400|07294|07294|Saint Sauveur de Cruzières|1
00729500|07295|07295|Saint Sauveur de Montagut|1
00729600|07296|07296|Saint Sernin|1
00729700|07297|07297|Saint Sylvestre|1
00729900|07299|07299|Saint Symphorien de Mahun|1
00729950|07298|07298|Saint Symphorien sous Chomérac|1
00730000|07300|07300|Saint Thomé|1
00730100|07301|07301|Saint Victor|1
00730200|07302|07302|Saint Vincent de Barrès|1
00730300|07303|07303|Saint Vincent de Durfort|1
00730400|07304|07304|Salavas|1
00730500|07305|07305|Les Salelles|1
00730600|07306|07306|Sampzon|1
00730700|07307|07307|Sanilhac|1
00730800|07308|07308|Sarras|1
00730900|07309|07309|Satillieu|1
00731000|07310|07310|Savas|1
00731100|07311|07311|Sceautres|1
00731200|07312|07312|Sécheras|1
00731300|07313|07313|Serrières|1
00731400|07314|07314|Silhac|1
00731500|07315|07315|La Souche|1
00731600|07316|07316|Soyons|1
00731721|07317|07317|Talencieux|1
00731800|07318|07318|Tauriers|1
00731900|07319|07319|Le Teil|1
00732000|07000|00732000|Thines|0
00732100|07321|07321|Thorrenc|1
00732200|07322|07322|Thueyts|1
00732300|07323|07323|Toulaud|1
00732400|07324|07324|Tournon sur Rhône|1
00732500|07325|07325|Ucel|1
00732600|07326|07326|Usclades et Rieutord|1
00732700|07327|07327|Uzer|1
00732800|07328|07328|Vagnas|1
00732900|07329|07329|Valgorge|1
00733000|07330|07330|Vallon Pont d'Arc|1
00733100|07331|07331|Vals les Bains|1
00733200|07332|07332|Valvignères|1
00733300|07333|07333|Vanosc|1
00733400|07334|07334|Les Vans|1
00733500|07335|07335|Vaudevant|1
00733600|07336|07336|Vernon|1
00733700|07337|07337|Vernosc lès Annonay|1
00733800|07338|07338|Vernoux en Vivarais|1
00733900|07339|07339|Vesseaux|1
00734000|07340|07340|Veyras|1
00734100|07341|07341|Villeneuve de Berg|1
00734200|07342|07342|Villevocance|1
00734300|07343|07343|Vinezac|1
00734400|07344|07344|Vinzieux|1
00734500|07345|07345|Vion|1
00734600|07346|07346|Viviers|1
00734700|07347|07347|Vocance|1
00734800|07348|07348|Vogüé|1
00734900|07349|07349|La Voulte sur Rhône|1
00800100|08001|08001|Acy Romance|1
00800200|08000|00800200|Adon|0
00800300|08003|08003|Aiglemont|1
00800400|08004|08004|Aire|1
00800500|08005|08005|Alincourt|1
00800600|08006|08006|Alland'Huy et Sausseuil|1
00800700|08007|08007|Les Alleux|1
00800800|08008|08008|Amagne|1
00800900|08009|08009|Amblimont|1
00801000|08010|08010|Ambly Fleury|1
00801100|08011|08011|Anchamps|1
00801200|08000|00801200|Andevanne|0
00801300|08013|08013|Angecourt|1
00801400|08014|08014|Annelles|1
00801500|08015|08015|Antheny|1
00801600|08016|08016|Aouste|1
00801700|08017|08017|Apremont|1
00801800|08018|08018|Ardeuil et Montfauxelles|1
00802100|08021|08021|Arnicourt|1
00802200|08022|08022|Arreux|1
00802300|08023|08023|Artaise le Vivier|1
00802400|08024|08024|Asfeld|1
00802500|08025|08025|Attigny|1
00802600|08026|08026|Aubigny les Pothées|1
00802700|08027|08027|Auboncourt Vauzelles|1
00802800|08028|08028|Aubrives|1
00802900|08029|08029|Auflance|1
00803000|08030|08030|Auge|1
00803100|08031|08031|Aure|1
00803200|08032|08032|Aussonce|1
00803300|08033|08033|Authe|1
00803400|08034|08034|Autrecourt et Pourron|1
00803500|08035|08035|Autruche|1
00803600|08036|08036|Autry|1
00803700|08037|08037|Auvillers les Forges|1
00803800|08038|08038|Avançon|1
00803900|08039|08039|Avaux|1
00804000|08040|08040|Les Ayvelles|1
00804100|08041|08041|Baâlons|1
00804200|08042|08042|Balaives et Butz|1
00804300|08043|08043|Balan|1
00804400|08044|08044|Balham|1
00804500|08045|08045|Ballay|1
00804600|08046|08046|Banogne Recouvrance|1
00804650|08049|08049|Bar lès Buzancy|1
00804700|08047|08047|Barbaise|1
00804800|08048|08048|Barby|1
00805000|08000|00805000|Barricourt|0
00805100|08000|00805100|Bay|0
00805200|08052|08052|Bayonville|1
00805300|08053|08053|Bazeilles|1
00805400|08000|00805400|Beaulieu|0
00805500|08055|08055|Beaumont en Argonne|1
00805600|08056|08056|Beffu et le Morthomme|1
00805700|08057|08057|Belleville et Châtillon sur Bar|1
00805800|08058|08058|Belval|1
00805900|08059|08059|Belval Bois des Dames|1
00806000|08060|08060|Bergnicourt|1
00806100|08061|08061|La Berlière|1
00806200|08062|08062|Bertoncourt|1
00806300|08063|08063|La Besace|1
00806400|08064|08064|Biermes|1
00806500|08065|08065|Bièvres|1
00806600|08066|08066|Bignicourt|1
00806700|08067|08067|Blagny|1
00806800|08000|00806800|Blaise|0
00806900|08069|08069|Blanchefosse et Bay|1
00807000|08070|08070|Blanzy la Salonnaise|1
00807042|08071|08071|Blombay|1
00807100|08081|08081|Bogny sur Meuse|1
00807200|08072|08072|Bosseval et Briancourt|1
00807300|08073|08073|Bossus lès Rumigny|1
00807400|08074|08074|Bouconville|1
00807500|08075|08075|Boult aux Bois|1
00807600|08076|08076|Boulzicourt|1
00807700|08077|08077|Bourcq|1
00807800|08078|08078|Bourg Fidèle|1
00807900|08079|08079|Boutancourt|1
00808000|08080|08080|Bouvellemont|1
00808200|08082|08082|Brécy Brières|1
00808300|08083|08083|Brévilly|1
00808400|08084|08084|Brienne sur Aisne|1
00808500|08085|08085|Brieulles sur Bar|1
00808600|08086|08086|Briquenay|1
00808700|08087|08087|Brognon|1
00808800|08088|08088|Bulson|1
00808900|08089|08089|Buzancy|1
00809000|08090|08090|Carignan|1
00809100|08469|00809100|La Cassine|0
00809200|08092|08092|Cauroy|1
00809300|08000|00809300|La Cerleau|0
00809400|08094|08094|Cernion|1
00809500|08095|08095|Chagny|1
00809600|08096|08096|Chalandry Elaire|1
00809700|08097|08097|Challerange|1
00809900|08099|08099|Champigneul sur Vence|1
00809950|08098|08098|Champigneulle|1
00810000|08100|08100|Champlin|1
00810100|08101|08101|La Chapelle|1
00810200|08102|08102|Chappes|1
00810300|08103|08103|Charbogne|1
00810400|08104|08104|Chardeny|1
00810500|08105|08105|Charleville Mézières|1
00810600|08106|08106|Charnois|1
00810700|08107|08107|Château Porcien|1
00810900|08109|08109|Chatel Chéhéry|1
00811100|08111|08111|Le Châtelet sur Retourne|1
00811150|08110|08110|Le Châtelet sur Sormonne|1
00811300|08113|08113|Chaumont Porcien|1
00811400|08114|08114|Chéhéry|1
00811500|08115|08115|Chémery sur Bar|1
00811600|08116|08116|Le Chesne|1
00811700|08117|08117|Chesnois Auboncourt|1
00811750|08000|00811750|Chestres|0
00811900|08119|08119|Cheveuges|1
00812000|08120|08120|Chevières|1
00812100|08121|08121|Chilly|1
00812200|08122|08122|Chooz|1
00812300|08123|08123|Chuffilly Roche|1
00812400|08124|08124|Clavy Warby|1
00812500|08125|08125|Cliron|1
00812800|08128|08128|Condé lès Autry|1
00812900|08126|08126|Condé lès Herpy|1
00812930|08000|00812930|Condé lès Vouziers|0
00812960|08000|00812960|Connage|0
00813000|08130|08130|Contreuve|1
00813100|08131|08131|Cornay|1
00813200|08132|08132|Corny Machéroménil|1
00813300|08133|08133|Coucy|1
00813400|08134|08134|Coulommes et Marqueny|1
00813500|08135|08135|La Croix aux Bois|1
00813600|08136|08136|Daigny|1
00813700|08137|08137|Damouzy|1
00813800|08138|08138|Les Deux Villes|1
00813900|08139|08139|Deville|1
00814000|08140|08140|Dom le Mesnil|1
